,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
232,250.0,0.4999999999999982,0.09544700883966699,0.11345752019080026,0.259,0.121,0.2015
233,250.0,1.0000000000000009,0.16599510787768243,0.1955757466163174,0.7235,0.44075,0.5855
234,250.0,1.4999999999999991,0.2524299394596693,0.29283518219029214,0.977,0.816,0.9175
235,250.0,2.0000000000000018,0.3352793516462097,0.3841506131859157,0.999,0.96825,0.99175
236,250.0,2.5,0.42064373967540375,0.4760009325304168,1.0,0.997,1.0
237,250.0,2.9999999999999982,0.5074337407859502,0.5649614606914123,1.0,1.0,1.0
238,250.0,3.5000000000000013,0.5940064720396131,0.655799365789524,1.0,1.0,1.0
239,250.0,3.9999999999999987,0.6830932401986112,0.7401578574529283,1.0,1.0,1.0
240,250.0,5.0,0.8564220532017838,0.90781040839657,1.0,1.0,1.0
241,250.0,6.000000000000001,1.0363242864530113,1.0657541846276801,1.0,1.0,1.0
242,250.0,7.999999999999997,1.3939665590775003,1.360775307098299,1.0,1.0,1.0
243,250.0,10.0,1.7456440021245494,1.6272794529055425,1.0,1.0,1.0
244,250.0,12.000000000000002,2.0970116039766222,1.8560586075855376,1.0,1.0,1.0
245,300.0,0.0,0.06165778678062894,0.06336780365734845,0.022,0.01633333333333333,0.021666666666666667
246,300.0,0.4999999999999982,0.09488834299414713,0.10715332692689085,0.289,0.163,0.213
247,300.0,1.0000000000000009,0.1639105105619588,0.19722510601191068,0.8113333333333334,0.5085,0.6741666666666667
248,300.0,1.4999999999999991,0.2520346014712178,0.2922357022610253,0.9825,0.8885,0.944
249,300.0,2.0000000000000018,0.33495313619515327,0.3851448083943135,1.0,0.9883333333333333,0.9985
250,300.0,2.5,0.4189671561721589,0.4804081956248241,1.0,0.999,1.0
251,300.0,2.9999999999999982,0.5047278882586632,0.567748453012644,1.0,1.0,1.0
252,300.0,3.5000000000000013,0.5955754234276773,0.6535903612628344,1.0,1.0,1.0
253,300.0,3.9999999999999987,0.6823704845883887,0.7411491661689595,1.0,1.0,1.0
254,300.0,5.0,0.8564534811377252,0.9061753679309426,1.0,1.0,1.0
255,300.0,6.000000000000001,1.0383234348664432,1.0672580918224939,1.0,1.0,1.0
256,300.0,7.999999999999997,1.3919198357619167,1.3587357747210338,1.0,1.0,1.0
257,300.0,10.0,1.7458797157575114,1.6257442455304265,1.0,1.0,1.0
258,300.0,12.000000000000002,2.0919064189445407,1.8598079859114716,1.0,1.0,1.0
259,350.0,0.0,0.05766646451697896,0.05923119368439213,0.023,0.0205,0.02175
260,350.0,0.4999999999999982,0.09057939726178274,0.10680141253553697,0.325,0.1825,0.255
261,350.0,1.0000000000000009,0.1659261482548236,0.19690893083951053,0.8695,0.593,0.74625
262,350.0,1.4999999999999991,0.24954853553138284,0.290644230552514,0.998,0.9065,0.97
263,350.0,2.0000000000000018,0.33458332306099914,0.3862549695736922,1.0,0.997,0.99975
264,350.0,2.5,0.4207586395851868,0.4769136465537566,1.0,1.0,1.0
265,350.0,2.9999999999999982,0.5078674412671389,0.5686022702562867,1.0,1.0,1.0
266,350.0,3.5000000000000013,0.593644549679594,0.6530929502498368,1.0,1.0,1.0
267,350.0,3.9999999999999987,0.6819667046215774,0.7407468698249456,1.0,1.0,1.0
268,350.0,5.0,0.8573311673171273,0.906196276574137,1.0,1.0,1.0
269,350.0,6.000000000000001,1.035670160834971,1.0657856926215528,1.0,1.0,1.0
270,350.0,7.999999999999997,1.3932956132107357,1.361238434064065,1.0,1.0,1.0
271,350.0,10.0,1.748880207949515,1.6239512611679376,1.0,1.0,1.0
272,350.0,12.000000000000002,2.0891783020566805,1.8608435065128686,1.0,1.0,1.0
273,400.0,0.0,0.05392638650726627,0.05423892517187738,0.02325,0.0215,0.0205
274,400.0,0.4999999999999982,0.0906716428388281,0.1030933783946908,0.37,0.2115,0.2795
275,400.0,1.0000000000000009,0.1658027159499676,0.19529293836823508,0.9045,0.6515,0.78675
276,400.0,1.4999999999999991,0.25044587640232163,0.2927067444972699,0.9995,0.9525,0.9835
277,400.0,2.0000000000000018,0.33317758550903653,0.38421288615341825,0.99975,0.99875,0.9995
278,400.0,2.5,0.4193501168739816,0.47655312390783533,1.0,1.0,1.0
279,400.0,2.9999999999999982,0.5051489301942358,0.5669381449123242,1.0,1.0,1.0
280,400.0,3.5000000000000013,0.5948183617703477,0.6545214800549796,1.0,1.0,1.0
281,400.0,3.9999999999999987,0.6823109362576677,0.7411434100568041,1.0,1.0,1.0
282,400.0,5.0,0.8571871414985158,0.9070209968802562,1.0,1.0,1.0
283,400.0,6.000000000000001,1.0373272421821411,1.065760729292482,1.0,1.0,1.0
284,400.0,7.999999999999997,1.3912205753235332,1.3610982888982006,1.0,1.0,1.0
285,400.0,10.0,1.7434219109989275,1.6231109277346707,1.0,1.0,1.0
286,400.0,12.000000000000002,2.089268427613605,1.8552050158048385,1.0,1.0,1.0
